station_code, station_name, station_address
27104010,此花区役所,大阪府大阪市此花区春日出北１－８－４
27108010,平尾小学校,大阪府大阪市大正区平尾２－２１－２８
27115010,国設大阪,大阪府大阪市中央区大手前４－１－６７
27116010,桃谷中学校,大阪府大阪市生野区勝山北３－１３－４４
27117010,大宮中学校,大阪府大阪市旭区中宮４－７－１１
27118020,聖賢小学校,大阪府大阪市城東区新喜多２－４－３５
27122010,今宮中学校,大阪府大阪市西成区花園北１－８－３２
27123010,野中小学校,大阪府大阪市淀川区野中北１－１１－２６
27125010,清江小学校,大阪府大阪市住之江区御崎5-7-18
27125030,南港中央公園,大阪府大阪市住之江区南港東８－５
27126010,摂陽中学校,大阪府大阪市平野区平野西３－４－７
27146010,金岡南,大阪府堺市北区金岡町１１８２－１
27147010,美原,大阪府堺市美原区小平尾３９０番地
27201020,少林寺,大阪府堺市堺区少林寺町東４－１－１
27201030,浜寺,大阪府堺市西区浜寺船尾町西５－６０
27201050,石津,大阪府堺市西区浜寺石津町中２－３－２８
27201080,三宝,大阪府堺市堺区三宝町５－２８６
27201090,若松台,大阪府堺市南区若松台３－３４－１
27201100,登美丘,大阪府堺市東区大美野１３５
27201340,深井,大阪府堺市中区深井水池町３２１４
27202060,岸和田中央公園,大阪府岸和田市西之内町２７９－２
27203030,豊中市菰江公園,大阪府豊中市三和町三丁目三番
27203510,豊中市役所,大阪府豊中市中桜塚３－１－１
27203520,豊中市千里,大阪府豊中市新千里西町1-1-3
27204030,池田市立南畑会館,大阪府池田市畑１－７－４
27205060,吹田市垂水,大阪府吹田市垂水町３－３２－５０
27205080,吹田市北消防署,大阪府吹田市藤白台１－１－５０
27205090,吹田市高野台,大阪府吹田市高野台４－５－１
27206030,泉大津市役所,大阪府泉大津市東雲町９－１２
27207030,庄所,大阪府高槻市南庄所町3
27208010,貝塚市消防署,大阪府貝塚市鳥羽１２２－１
27210010,枚方市役所,大阪府枚方市大垣内町２－１－２０
27210020,王仁公園,大阪府枚方市王仁公園１
27210030,楠葉,大阪府枚方市楠葉並木２－２９－３
27211010,茨木市役所,大阪府茨木市駅前３－８－１３
27212010,八尾市保健所,大阪府八尾市清水町１－２－５
27214020,富田林市役所,大阪府富田林市常盤町１－１
27215010,寝屋川市役所,大阪府寝屋川市本町１－１
27215020,成田,大阪府寝屋川市成田町３－６
27216010,三日市公民館,大阪府河内長野市三日市町２８８－１
27218010,大東市役所,大阪府大東市谷川１－１－１
27219040,緑ケ丘小学校,大阪府和泉市緑ケ丘３－４－１
27221010,府立修徳学院,大阪府柏原市大字高井田８０９－１
27225010,高石中学校,大阪府高石市東羽衣６－６－４５
27226030,藤井寺市役所,大阪府藤井寺市岡１－１－１
27227020,東大阪市六万寺,大阪府東大阪市南四条町３－３３
27227030,東大阪市環境衛生検査センター,大阪府東大阪市西岩田３－３－２
27227040,東大阪市西保健センター,大阪府東大阪市高井田元町２－８－２７
27228010,泉南市役所,大阪府泉南市樽井１－１－１
27301010,島本町役場,大阪府三島郡島本町桜井２－１－１
27321010,豊能町役場,大阪府豊能郡豊能町余野４１４番地の１
27367010,南海団地,大阪府阪南市舞４－６－１４
